f,I,ureff,uleff,ugeff,Rv,L,URS,ULL,RS,phi,Q,Qt,Lgemessen
20,0.002,2.003,0.1281,2.102,1k,0.3,0.097350322016974,0.083261784770634,48.6751610084871,40.5397095153593,0.855280013928629,0.77450410151708,0.331288115422498
60,0.002,2.002,0.2441,2.111,1k,0.3,0.097085961538462,0.223962331815313,48.542980769231,66.5636361598633,2.30684568877228,2.32983911859239,0.297039268123286
200,0.002,2,0.7413,2.223,1k,0.3,0.0980508275,0.734786857004509,49.0254137499999,82.3992853186843,7.49393835564019,7.68970804312234,0.292362401028063
300,0.002,2,1.1063,2.369,1k,0.3,0.0970653275,1.10203358034014,48.5326637499998,84.9664703713628,11.3535245666394,11.6516719658967,0.292323486273989
500,0.002,1.998,1.838,2.785,1k,0.3,0.096590840840841,1.83546021734759,48.2954204204204,86.9875962794433,19.0024250888549,19.5148481548043,0.292122566439393
1000,0.002,1.997,3.677,4.229,1k,0.3,0.094167000500752,3.67579400620011,47.0835002503759,88.5325097527751,39.0348422128065,40.0343131273217,0.292510392937155
1500,0.002,1.999,5.543,5.925,1k,0.3,0.096241870935466,5.5421644239664,48.1209354677331,89.0051361871521,57.585792650297,58.7568250855537,0.294020954500767
,,,,,,,,,48.3251536308925,,,,
